cycle,recall,precision,recall_10,precision_10,top_mean_1,top_mean_2,top_mean_3,recall_g,precision_g,recall_10_g,precision_10_g,top_mean_1_g,top_mean_2_g,top_mean_3_g,N_init,N_per_cycle,strategy,dms_index,model_type,tmp_path,noise_level,ablang,use_dropout,logit_mode,Training size
11,0.03389830508474576,0.01818181818181818,0.020531807472231572,0.11090909090909092,1.4128858189399787,1.2849459944585238,1.218734080134784,0.03728813559322034,0.018333333333333333,0.020531807472231572,0.11090909090909092,1.4259250022535817,1.3128187646595808,1.2524468008103853,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,550
12,0.03728813559322034,0.018333333333333333,0.02558061258835409,0.12666666666666668,1.4142744453464382,1.3025901655249004,1.2387456832968449,,,,,,,,50,50,ucb,2,sequence,outputs/ucb_0.0/dms_sequence_2_N-50_ini-1,0.0,False,False,False,600
1,0.3333333333333333,0.06,0.17647058823529413,0.3,0.09147203869658702,0.04899647175488904,0.022810793299633016,0.7777777777777778,0.011666666666666667,0.17647058823529413,0.3,0.14497983644626172,0.10408026097577099,0.08522139864976165,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,50
2,0.3333333333333333,0.03,0.2235294117647059,0.19,0.09551784003684098,0.05559614837115261,0.03448923939294037,0.8888888888888888,0.013333333333333334,0.2235294117647059,0.19,0.1559287375343205,0.11091880508683463,0.08987834024264402,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,100
3,0.3333333333333333,0.02,0.29411764705882354,0.16666666666666666,0.09781083610146496,0.060809346394999006,0.042720943795298776,0.6666666666666666,0.01,0.29411764705882354,0.16666666666666666,0.14265685237441433,0.1039782338933442,0.08477983248691189,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,150
4,0.3333333333333333,0.015,0.3176470588235294,0.135,0.09781083610146496,0.06263098509441338,0.04497490728105291,0.7777777777777778,0.011666666666666667,0.3176470588235294,0.135,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,200
5,0.3333333333333333,0.012,0.4117647058823529,0.14,0.10473169984119093,0.07336066002186171,0.05612065431887866,0.7777777777777778,0.011666666666666667,0.4117647058823529,0.14,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,250
6,0.3333333333333333,0.01,0.47058823529411764,0.13333333333333333,0.10473169984119093,0.07373853357722135,0.0570261793664784,0.8888888888888888,0.013333333333333334,0.47058823529411764,0.13333333333333333,0.1559287375343205,0.11328636676519624,0.09189626820921347,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,300
7,0.3333333333333333,0.008571428571428572,0.49411764705882355,0.12,0.10675929543862203,0.07668487541509636,0.05988942321008158,0.7777777777777778,0.011666666666666667,0.49411764705882355,0.12,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,350
8,0.4444444444444444,0.01,0.5647058823529412,0.12,0.12196209083908931,0.08638979740520594,0.06743233302983885,0.8888888888888888,0.013333333333333334,0.5647058823529412,0.12,0.1559287375343205,0.11328636676519624,0.09203348708237456,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,400
9,0.5555555555555556,0.011111111111111112,0.6,0.11333333333333333,0.12721919225138087,0.09089760377046964,0.07162772878761942,0.8888888888888888,0.013333333333333334,0.6,0.11333333333333333,0.1559287375343205,0.11312008040100896,0.09135886775457107,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,450
10,0.5555555555555556,0.01,0.611764705882353,0.104,0.12721919225138087,0.09089760377046964,0.07170335708011386,0.7777777777777778,0.011666666666666667,0.611764705882353,0.104,0.15360575346247307,0.11057726772527503,0.08913007983292794,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,500
11,0.5555555555555556,0.00909090909090909,0.6352941176470588,0.09818181818181818,0.12721919225138087,0.09089760377046964,0.07170335708011386,0.7777777777777778,0.011666666666666667,0.6352941176470588,0.09818181818181818,0.15360575346247307,0.11057726772527503,0.08901901745549683,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,550
12,0.7777777777777778,0.011666666666666667,0.6823529411764706,0.09666666666666666,0.13180426993989544,0.09743363242955624,0.07799464398106772,,,,,,,,50,50,ucb,1,sequence,outputs/ucb_2.0/dms_sequence_1_N-50_ini-1,2.0,False,False,False,600
1,0.3333333333333333,0.06,0.17647058823529413,0.3,0.09147203869658702,0.04899647175488904,0.022810793299633016,0.7777777777777778,0.011666666666666667,0.17647058823529413,0.3,0.14497983644626172,0.10516728268943207,0.08640629403168477,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,50
2,0.3333333333333333,0.03,0.24705882352941178,0.21,0.10170183896319047,0.06195135492800511,0.0402224730154418,0.7777777777777778,0.011666666666666667,0.24705882352941178,0.21,0.14501429059181364,0.10652104656907813,0.08762169040292164,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,100
3,0.3333333333333333,0.02,0.35294117647058826,0.2,0.1059751209586316,0.07609949261374599,0.05641239325708496,0.7777777777777778,0.011666666666666667,0.35294117647058826,0.2,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,150
4,0.4444444444444444,0.02,0.4235294117647059,0.18,0.11184773737875058,0.081723580348675,0.06276620221728411,0.7777777777777778,0.011666666666666667,0.4235294117647059,0.18,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,200
5,0.5555555555555556,0.02,0.47058823529411764,0.16,0.11688489617736994,0.08701913341061313,0.06828606844428085,0.8888888888888888,0.013333333333333334,0.47058823529411764,0.16,0.1559287375343205,0.11328636676519624,0.09238047664910003,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,250
6,0.6666666666666666,0.02,0.5294117647058824,0.15,0.13982508492805015,0.10026421836020613,0.07906191105312158,0.7777777777777778,0.011666666666666667,0.5294117647058824,0.15,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,300
7,0.6666666666666666,0.017142857142857144,0.5882352941176471,0.14285714285714285,0.13982508492805015,0.10026421836020613,0.07934031353194711,0.7777777777777778,0.011666666666666667,0.5882352941176471,0.14285714285714285,0.14501429059181364,0.10652104656907813,0.08741034154417972,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,350
8,0.6666666666666666,0.015,0.6352941176470588,0.135,0.14034447248970044,0.10177914879920635,0.08112856187926663,0.7777777777777778,0.011666666666666667,0.6352941176470588,0.135,0.14501429059181364,0.10652104656907813,0.08741034154417972,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,400
9,0.6666666666666666,0.013333333333333334,0.7058823529411765,0.13333333333333333,0.14034447248970044,0.10177914879920635,0.08223280362588777,0.7777777777777778,0.011666666666666667,0.7058823529411765,0.13333333333333333,0.14501429059181364,0.10652104656907813,0.08749282884844158,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,450
10,0.6666666666666666,0.012,0.7647058823529411,0.13,0.14034447248970044,0.10177914879920635,0.08264661776546497,0.7777777777777778,0.011666666666666667,0.7647058823529411,0.13,0.14501429059181364,0.10652104656907813,0.08734259933946965,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,500
11,0.7777777777777778,0.012727272727272728,0.8117647058823529,0.12545454545454546,0.1512933735777592,0.1096605880620509,0.08918734575085932,0.8888888888888888,0.013333333333333334,0.8117647058823529,0.12545454545454546,0.1559287375343205,0.11362263484680801,0.0931233290118897,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,550
12,0.8888888888888888,0.013333333333333334,0.8588235294117647,0.12166666666666667,0.1559287375343205,0.11328636676519624,0.09243520821799926,,,,,,,,50,50,ucb,1,sequence,outputs/ucb_0.5/dms_sequence_1_N-50_ini-1,0.5,False,False,False,600
1,0.0,0.0,0.0,0.0,0.009563326744125699,-0.4456402193342036,-0.6316580247478801,0.020338983050847456,0.01,0.0,0.0,1.4673316426040135,1.2683896336330935,1.1839446793329904,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,75
2,0.003389830508474576,0.006666666666666667,0.0013463480309660047,0.02666666666666667,1.0362861056042483,0.9344604125588933,0.88653180332967,0.006779661016949152,0.0033333333333333335,0.0013463480309660047,0.02666666666666667,1.2110276340488082,1.1302660823254764,1.0908547462735123,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,150
3,0.006779661016949152,0.008888888888888889,0.004712218108381017,0.06222222222222222,1.143287034626617,1.0497160672372807,0.9967253212078373,0.006779661016949152,0.0033333333333333335,0.004712218108381017,0.06222222222222222,1.198026599184385,1.1202679589604052,1.0829481065172293,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,225
4,0.006779661016949152,0.006666666666666667,0.006058566139347021,0.06,1.1522454352713563,1.0685936059598904,1.0250624482042356,0.010169491525423728,0.005,0.006058566139347021,0.06,1.2334048159479996,1.1440957930740012,1.1049867366388513,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,300
5,0.006779661016949152,0.005333333333333333,0.008078088185796028,0.064,1.1551863982030188,1.08258458492766,1.042093947051209,0.01694915254237288,0.008333333333333333,0.008078088185796028,0.064,1.4623727794083252,1.254491114857314,1.1761101774488865,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,375
6,0.010169491525423728,0.006666666666666667,0.009087849209020532,0.06,1.3411535892639468,1.1796664207914214,1.1107966817836188,0.010169491525423728,0.005,0.009087849209020532,0.06,1.351125400283949,1.1932113321645454,1.130363443321816,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,450
7,0.010169491525423728,0.005714285714285714,0.01110737125546954,0.06285714285714286,1.3441847806908307,1.185142645469638,1.1209010827076469,0.013559322033898305,0.006666666666666667,0.01110737125546954,0.06285714285714286,1.4385277777599055,1.2378311054060755,1.160204268483465,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,525
8,0.013559322033898305,0.006666666666666667,0.012453719286435544,0.06166666666666667,1.4385277777599055,1.2378311054060755,1.160204268483465,,,,,,,,75,75,greedy,2,sequence,outputs/greedy_0.0/dms_sequence_2_N-75_ini-1,0.0,False,False,False,600
1,0.3333333333333333,0.04,0.2235294117647059,0.25333333333333335,0.09781083610146496,0.05695246818425161,0.036241097686314526,0.7777777777777778,0.011666666666666667,0.2235294117647059,0.25333333333333335,0.14501429059181364,0.10652104656907813,0.08741034154417972,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,75
2,0.3333333333333333,0.02,0.3411764705882353,0.19333333333333333,0.10330656959701079,0.0724873249656104,0.05321186916463561,0.7777777777777778,0.011666666666666667,0.3411764705882353,0.19333333333333333,0.14501429059181364,0.10652104656907813,0.08749282884844158,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,150
3,0.5555555555555556,0.022222222222222223,0.49411764705882355,0.18666666666666668,0.1363516104462906,0.09629098077193442,0.07491771895160865,0.8888888888888888,0.013333333333333334,0.49411764705882355,0.18666666666666668,0.1559287375343205,0.11233227166649373,0.09179914481886427,75,75,greedy,1,sequence,outputs/greedy_0.0/dms_sequence_1_N-75_ini-1,0.0,False,False,False,225
